Algorithm;ndcg_5;hit_5;P_5;R_5;RR_5;ndcg_10;hit_10;P_10;R_10;RR_10;ndcg_50;hit_50;P_50;R_50;RR_50;ndcg_100;hit_100;P_100;R_100;RR_100
CGCL-DP-CC-R-3C;0.0494058396736243;0.09667652;0.0208859774473323;0.0608724908274425;0.0556070402807057;0.058192810828429;0.13690063;0.0151247187990775;0.0859238317398706;0.0609285621085448;0.0764688446497499;0.26809943;0.0063110683512783;0.1647333187257421;0.0668539161749598;0.0846671172602419;0.345817;0.004245532619307;0.2117914963840231;0.0679602792396509
BPRMF-DP-CC-R-2C;0.0494013950211884;0.09669067;0.0208888071421497;0.0608611579379807;0.0556310926866537;0.0581680661942081;0.1368016;0.0151162297146252;0.08585942090284;0.060937702471963;0.0764042589264064;0.26768914;0.0063045600531982;0.1645190616824645;0.0668456148254113;0.0845972799931158;0.34518033;0.0042415710465626;0.2115586584980977;0.0679483050224615
AdaGCL-DP-CC-R-4C;0.0493951325854234;0.09666237;0.0208831477525148;0.0608651716696651;0.0555846385300678;0.0582046020029712;0.13697138;0.0151303781887123;0.0859752288670281;0.0609174454503335;0.0764683875835793;0.26804283;0.0063107853817965;0.1647352016448771;0.0668340000082381;0.0846756405637064;0.34561893;0.0042446837108617;0.2118579190504851;0.0679375794231414
AdaGCL-DP-CC-R-3C;0.0493770617547989;0.09659163;0.0208689992784278;0.0608493528447913;0.0555582280451053;0.0581626993366962;0.1367733;0.0151091554775817;0.0858981416085012;0.0608732651556545;0.0764082885045717;0.26778817;0.00630484302268;0.1645724339377551;0.0667889572469348;0.0845989635867903;0.34519446;0.0042398732296721;0.2116063743762044;0.0678900808115657
LightGCN-DP-CC-R-2C;0.0493753796606023;0.09656334;0.0208661695836104;0.0608238538435022;0.0555667171295575;0.0581446243921239;0.13664596;0.015097836698312;0.085831560882913;0.060869177818696;0.076356993475117;0.2673354;0.0062929583044468;0.1643838012493517;0.0667693319817237;0.0845192594858684;0.34451535;0.0042289789046251;0.2112542724498561;0.0678676156640105
BPRMF-DP-CC-R-5C;0.0493725004841704;0.09657748;0.0208661695836104;0.0608276314733228;0.0555525686554705;0.0581438351726612;0.13666011;0.015097836698312;0.0858381717350991;0.060855029344609;0.0763451716100903;0.26726466;0.0062906945485929;0.1643288131763798;0.0667523385368241;0.0845183695041381;0.34451535;0.0042285544504025;0.2112636693551391;0.0678515861618389
CGCL-DP-CC-R-2C;0.0493717463543235;0.09657748;0.0208661695836104;0.0608238538435022;0.0555535118870763;0.0581766237936871;0.13684404;0.0151162297146252;0.0859257655265644;0.0608815240466791;0.0764368546553507;0.26792964;0.0063062578700887;0.1646875721199973;0.0667976585091675;0.0846305065583579;0.345435;0.0042390243212269;0.2117403993863505;0.0679007990845683
BPRMF-DP-CC-R-4C;0.0493700884592972;0.09656334;0.0208633398887929;0.0608252704546849;0.0555471450737371;0.0581454852424098;0.13668841;0.0151006663931295;0.0858457269947403;0.060854164715637;0.0763688404076468;0.2675052;0.0062963539382277;0.1644301116970084;0.0667613394758839;0.0845440440788907;0.34479833;0.0042320915689242;0.2113695906514591;0.0678612654076936
BPRMF-DP-CC-R-3C;0.0493669277540624;0.09657748;0.0208661695836104;0.060819604009954;0.0555506821922588;0.0581463503555111;0.13671671;0.0151063257827643;0.0858523378469263;0.0608615365197942;0.0763681697355291;0.2675052;0.0063003155109721;0.1644203981625334;0.0667678343005565;0.0845385835482789;0.34477;0.0042349212637417;0.2113339656673355;0.0678672883344769
SpectralClustering-DP-CC-R-4C;0.0493603361586454;0.09654919;0.0208605101939755;0.0608139375652231;0.0555483241132443;0.0581317096129941;0.13664596;0.0150964218509033;0.0858244778269994;0.0608532046406096;0.0763560882336922;0.26746276;0.0062952220603007;0.1644048457954773;0.0667635974656875;0.0845247837260234;0.34471342;0.0042308182062564;0.2113094821110707;0.067862905134677
SpectralClustering-DP-CC-R-2C;0.0493580717029929;0.09654919;0.0208605101939755;0.0608139375652231;0.0555370053339747;0.0581324049155691;0.13667426;0.0150992515457207;0.0858273110493648;0.0608471915391226;0.0763635993120525;0.26757595;0.0062977687856364;0.1644433812519839;0.0667579388715081;0.084530044840185;0.34478417;0.0042319500841834;0.2113385186564639;0.0678564134356011
SpectralClustering-DP-CC-R-3C;0.0493580717029929;0.09654919;0.0208605101939755;0.0608139375652231;0.0555370053339747;0.0581292760512516;0.13663182;0.0150950070034946;0.0858230612158166;0.0608401173020791;0.0763536523506382;0.26742032;0.0062946561213373;0.1644023234916702;0.0667490402905657;0.0845226608917195;0.34469926;0.0042308182062564;0.2113075747452997;0.0678487263113113
LightGCN-DP-CC-R-3C;0.0493573407520505;0.09653504;0.0208576804991581;0.0608111043428576;0.0555348830628616;0.0581314155406053;0.13663182;0.0150950070034946;0.0858287276605475;0.0608398590362823;0.0763558288895869;0.26734957;0.0062943731518555;0.1644202790384113;0.0667422871790292;0.0845246177857618;0.3445578;0.0042315256299608;0.2113259749505509;0.0678409278483101
