Algorithm;ndcg_5;hit_5;P_5;R_5;RR_5;ndcg_10;hit_10;P_10;R_10;RR_10;ndcg_50;hit_50;P_50;R_50;RR_50;ndcg_100;hit_100;P_100;R_100;RR_100
KGCL-DP-DC-4C;0.0056359279721419;0.022909906;0.0048215335699819;0.0060255963529189;0.0109787524408922;0.0068493208826088;0.04098521;0.0044709161784882;0.0090071448966653;0.0133504493938083;0.0116806074126663;0.110564254;0.0027910015462009;0.0265502745952903;0.0163049090759821;0.0156267065221521;0.1658355;0.0023787538927241;0.044393092922128;0.0170811589443437
KGCL-E-CC-5C;0.0055176611207847;0.02149437;0.004555848341645;0.0061559010990606;0.00971638464833;0.0067100684826135;0.03453908;0.0038088808554193;0.0092825495690385;0.0114071551804298;0.0124827710004379;0.108691394;0.0027439621942986;0.0302754441695589;0.0144646841579159;0.0162424752153832;0.1649644;0.0022348047649121;0.0478068615265241;0.0152619165838251
KGCL-E-CC-3C;0.0054224569675122;0.021124154;0.0045166488817265;0.0061395676350596;0.0094071444645281;0.0066309994829954;0.034647968;0.0038110586031925;0.0092612382874371;0.011173825061867;0.0125305714344003;0.11021581;0.0027805483568893;0.0306280531919718;0.014333781316188;0.0162964059413819;0.16616215;0.0022585422156405;0.0481680638025106;0.0151200863963099
KGCL-E-CC-2C;0.0054114382578305;0.02081927;0.0044338944663429;0.0060226926259854;0.0095643052621645;0.0066653378488296;0.03427775;0.0038001698643263;0.0092201021558789;0.011337156144861;0.0124603810907537;0.10884383;0.0027443977438533;0.0302157499141033;0.0144492509565466;0.0161175380153077;0.16357064;0.002219996080054;0.0472136653814745;0.0152139015990733
KGCL-E-CC-4C;0.0053951852728736;0.020775713;0.0044513164485289;0.0060822190281225;0.0094075074224903;0.0066019019019128;0.033972867;0.0037675036477275;0.0091858018814767;0.0111122777617039;0.0124374976109215;0.11028115;0.0027583353296021;0.0302960580698835;0.014303308519708;0.0161536663905875;0.1654435;0.0022326270171388;0.0476426807798087;0.0150767451428508
AdaGCL-E;0.0052852941051535;0.021341927;0.004503582395087;0.006136663908126;0.0095730162532575;0.0061674000632526;0.03159912;0.0034517302206058;0.0084838691055207;0.0109207050925076;0.0097426751631873;0.07765848;0.0018741697336614;0.0220746128301872;0.0127787327087877;0.0119005485473772;0.11001982;0.0013987673947603;0.0323841570557419;0.0132349312468659
AdaGCL-E-R;0.0052746692723405;0.021429038;0.004521004377273;0.0061544492355938;0.009419122077281;0.0061293717481042;0.031468455;0.003436485986193;0.0084437613772515;0.0107325027472461;0.0096770990323239;0.077244714;0.0018645876434591;0.0219235105317502;0.012578895840918;0.011823590309572;0.10951894;0.0013909275027766;0.0321795516477947;0.0130346056609731
KGCL-DP-DC-2C;0.0049330747095436;0.021646813;0.0044992268995404;0.0055780594392903;0.0093243900491445;0.0062575986358991;0.04024478;0.0042596746444826;0.0087417045015372;0.011778089575951;0.0117053525528653;0.1226072;0.0029839499989111;0.02842557427519;0.0151101730273298;0.0159647841940626;0.1863281;0.0025301073629652;0.0477852199150608;0.0160066188703247
AdaGCL-DP-DC-5C;0.0048758835391788;0.01907707;0.0039852784250528;0.0050027585405868;0.0102332367865153;0.0057167272045866;0.03264444;0.0035388401315359;0.007213661412995;0.0120119986988821;0.0098273950100944;0.09425292;0.0024059757398898;0.0218151162549411;0.0146290363956759;0.0129643355405777;0.13989852;0.0020113678433763;0.0356262526615294;0.0152767191330024
KGCL-E-DC-3C;0.0048436461515625;0.021821033;0.0045340708639125;0.005698927072898;0.0088380263797846;0.0059348692211787;0.03835014;0.0041050545525817;0.0084025906775155;0.0109645193036599;0.0118613528011026;0.1260916;0.0031285524510551;0.0297861988242874;0.0145602841607738;0.0161996747383242;0.18817918;0.0026481412922755;0.0492148613065909;0.0154438125226801
