Algorithm;ndcg_5;hit_5;P_5;R_5;RR_5;ndcg_10;hit_10;P_10;R_10;RR_10;ndcg_50;hit_50;P_50;R_50;RR_50;ndcg_100;hit_100;P_100;R_100;RR_100
SpectralMixARS0-DP-DC-R-5C;0.0972198350689613;0.031433508;0.0065457685664939;0.1085108267338506;0.0223819804260218;0.1056199672188171;0.03713299;0.0039032815198618;0.1323517737214381;0.0231555843408175;0.1336792861894504;0.064421415;0.0014939550949913;0.2582579218694282;0.02432220629464;0.1564645950282167;0.087478414;0.0011364421416234;0.3935697222683226;0.0246432975113321
SpectralMixARS1-DP-DC-R-5C;0.0969913122594614;0.031519864;0.0065630397236614;0.1083348017784139;0.0223675877950489;0.1055613988129252;0.0373057;0.0039205526770293;0.1327439305841832;0.0231489020478657;0.1337765611773041;0.06468048;0.0014974093264248;0.2593861897595311;0.0243202079178205;0.156915482509422;0.0880829;0.0011442141623488;0.3967677858951033;0.0246454094933406
SpectralMixARS1-DP-DC-R-2C;0.096668643244213;0.03134715;0.0065284974093264;0.1077807851579153;0.0222668393782383;0.1051727168692888;0.03713299;0.0039032815198618;0.1319002836775362;0.0230515804479535;0.1332856221989177;0.06450777;0.0014939550949913;0.2579923054539658;0.0242170851821625;0.1562130883393957;0.08765112;0.0011390328151986;0.3940587459007373;0.0245384642147324
SpectralMixARS0-DP-R;0.0964678948540587;0.030397236;0.0063557858376511;0.10561395314407;0.0222423719055843;0.1050281467178984;0.036528498;0.0038514680483592;0.1297078437210692;0.0230659045425884;0.1327043545876253;0.06398964;0.0014715025906735;0.2552117327857199;0.0241909221071449;0.1547523989801142;0.086528495;0.0011278065630397;0.3855291698694567;0.0245043118616979
SpectralMixARS1-DP-R;0.0962401707513616;0.03031088;0.0063385146804835;0.1050992791800687;0.0221848013816925;0.1051310030885302;0.036528498;0.003860103626943;0.1298478997434782;0.0230358856265592;0.1328921371232091;0.06390328;0.0014732297063903;0.2559125215413593;0.0241640660009563;0.1546544853924013;0.086528495;0.0011243523316062;0.3845172432388405;0.0244799480828811
BPRMF-DP-DC-R-2C;0.093176624155681;0.029287256;0.0060993520518358;0.1010978346419047;0.0215824334053275;0.1033385889146154;0.036717065;0.0038790496760259;0.1289672472993845;0.0226100997634475;0.1306929111011736;0.062894166;0.0014583153347732;0.2513879960105988;0.02371458364623;0.1550284927976784;0.08760259;0.0011421166306695;0.3962944840099101;0.0240583716958917
BPRMF-DP-DC-R-3C;0.0929809551638053;0.029460043;0.0061857451403887;0.1023567272914107;0.0216083513318934;0.1010749024576616;0.035075594;0.0037408207343412;0.1247158072581302;0.0223872604477356;0.1292562503942982;0.063326135;0.0014565874730021;0.2507124859959145;0.0236061536706673;0.1507423106712639;0.0850108;0.0010902807775377;0.3786305200050254;0.0239075691636928
BPRMF-DP-DC-R-5C;0.0924520487324262;0.028941685;0.006047516198704;0.1001045865879086;0.0216184305255579;0.1006832109702516;0.034643628;0.0036630669546436;0.1224065758580542;0.0224166752374095;0.1271897300312349;0.060561556;0.0013805615550755;0.2418257189273637;0.0235185984150307;0.1485481749965594;0.0837149;0.0010643628509719;0.3683680265155832;0.0238397222957506
BPRMF-DP-DC-R-4C;0.0916959687379912;0.028768899;0.0060129589632829;0.0985609103895874;0.0213750899928005;0.0998962594586999;0.034643628;0.003645788336933;0.121563041151989;0.0221598614967945;0.1289818176009273;0.063326135;0.0014600431965442;0.2525887839119996;0.0233866797182894;0.1520220259139266;0.086997844;0.0011205183585313;0.3896806311390559;0.0237226928058312
SpectralMixMRS0-DP-DC-R-4C;0.0915564111031197;0.028670121;0.0059930915371329;0.098532379411573;0.0214018422567645;0.1017287462851496;0.035751294;0.0037651122625215;0.1275795297126873;0.0223288647640979;0.129219237145587;0.06208981;0.001447322970639;0.2505717939392746;0.0234713713424274;0.151781599133391;0.08454231;0.0011139896373056;0.384283140604516;0.0237862182356212
SpectralMixMRS1-DP-DC-R-2C;0.0914768339310442;0.028583765;0.0059758203799654;0.0984203345936458;0.0213730569948186;0.1018883422575868;0.03583765;0.0037737478411053;0.1281397538023231;0.0223216684486114;0.1294301531045658;0.062176168;0.0014507772020725;0.2514153041478906;0.0234637496289811;0.1518993528855186;0.08462867;0.0011139896373056;0.384563252649334;0.0237785738525961
SpectralMixMRS0-DP-DC-R-2C;0.0914768339310442;0.028583765;0.0059758203799654;0.0984203345936458;0.0213730569948186;0.1018883422575868;0.03583765;0.0037737478411053;0.1281397538023231;0.0223216684486114;0.1294301531045658;0.062176168;0.0014507772020725;0.2514153041478906;0.0234637496289811;0.1518991601679157;0.08462867;0.0011139896373056;0.384563252649334;0.0237785645789937
SpectralMixMRS0-DP-DC-R-3C;0.0914768339310442;0.028583765;0.0059758203799654;0.0984203345936458;0.0213730569948186;0.1018883422575868;0.03583765;0.0037737478411053;0.1281397538023231;0.0223216684486114;0.129378046244545;0.062176168;0.0014490500863557;0.2511320180289104;0.0234635307861139;0.151897384074027;0.08462867;0.0011139896373056;0.384563252649334;0.0237783725575204
SpectralMixMRS1-DP-DC-R-3C;0.0914768339310442;0.028583765;0.0059758203799654;0.0984203345936458;0.0213730569948186;0.1018883422575868;0.03583765;0.0037737478411053;0.1281397538023231;0.0223216684486114;0.129378046244545;0.062176168;0.0014490500863557;0.2511320180289104;0.0234635307861139;0.151897384074027;0.08462867;0.0011139896373056;0.384563252649334;0.0237783725575204
SpectralMixMRS1-DP-DC-R-5C;0.0914768339310442;0.028583765;0.0059758203799654;0.0984203345936458;0.0213730569948186;0.1017016008943749;0.035751294;0.0037651122625215;0.1275795297126873;0.0223108739753817;0.1291953294108553;0.06208981;0.001447322970639;0.2505717939392746;0.0234535587489398;0.1517142830962717;0.08454231;0.0011131260794473;0.3840030285596981;0.023768349368329
SpectralMixMRS0-DP-DC-R-5C;0.0914768339310442;0.028583765;0.0059758203799654;0.0984203345936458;0.0213730569948186;0.1017016008943749;0.035751294;0.0037651122625215;0.1275795297126873;0.0223108739753817;0.1291953294108553;0.06208981;0.001447322970639;0.2505717939392746;0.0234535587489398;0.1517142830962717;0.08454231;0.0011131260794473;0.3840030285596981;0.023768349368329
SpectralMixMRS1-DP-DC-R-4C;0.0913991157592171;0.028583765;0.0059758203799654;0.0984203345936458;0.0213586643638457;0.101571450941247;0.03566494;0.0037564766839378;0.1274674848947601;0.0222856868711791;0.1290315167290076;0.062003456;0.0014438687392055;0.2503477043034202;0.0234281934495085;0.1515938787168116;0.08445596;0.0011122625215889;0.3840590509686618;0.0237430403427024
SpectralMixMRS1-DP-R;0.0910441130364574;0.02849741;0.0059585492227979;0.097852152775464;0.0213284398388025;0.1010296021333515;0.03549223;0.0037392055267702;0.126332730838618;0.0222464498176933;0.128818229960462;0.062176168;0.001447322970639;0.2510380020056789;0.0233960221561753;0.1509965893374323;0.08419689;0.001107944732297;0.3825919774335805;0.0237032012285161
SpectralMixMRS0-DP-R;0.0910441130364574;0.02849741;0.0059585492227979;0.097852152775464;0.0213284398388025;0.1010296021333515;0.03549223;0.0037392055267702;0.126332730838618;0.0222464498176933;0.1288153009768947;0.062176168;0.001447322970639;0.2510380020056789;0.0233943399006071;0.1510779315981474;0.08428325;0.0011088082901554;0.3831490804976473;0.0237023914316293
SpectralMixOPDPxEDARS0-DP-DC-R-5C;0.0856230657697868;0.02642487;0.0055267702936096;0.0896087767007559;0.0203209556706966;0.0920087701706533;0.030224524;0.0031865284974093;0.1075258948290134;0.0208403240398059;0.1105613710899134;0.05;0.0011174438687392;0.1918977369985754;0.0216283243462991;0.1299283322565304;0.07158895;0.000887737478411;0.307163009732565;0.021926979635238
SpectralMixOFDPARS0-DP-DC-R-5C;0.0846214557324805;0.026165802;0.005474956822107;0.088536071887008;0.0202130109383995;0.0895460647089494;0.029360967;0.0031001727115716;0.1021369781669756;0.0206526372782849;0.1075770621058673;0.04896373;0.0010915371329879;0.1840960743127268;0.0214331010349586;0.1267156258482664;0.0708981;0.0008782383419689;0.2974733283831603;0.0217389825332491
SpectralMixOPDPxEDARS0-DP-R;0.0841701180460766;0.026079448;0.005474956822107;0.0885741834563495;0.0199712147380541;0.0904628039000523;0.03013817;0.0031778929188255;0.1063516609615364;0.0205111440085533;0.1083193275208432;0.049481865;0.0010915371329879;0.1869196772053159;0.0212858473391168;0.1270525071130208;0.072107084;0.0008756476683937;0.2980744021916084;0.0216018200451112
SpectralMixOFDPARS0-DP-R;0.0837312894852439;0.025993092;0.005440414507772;0.0885540809866553;0.0199568221070811;0.0899897027963592;0.030138168;0.0031778929188255;0.106133178856702;0.0205133029031992;0.107796638123714;0.04939551;0.0010949913644214;0.1860634442494328;0.0213142091040804;0.127853622852842;0.07348878;0.0009024179620034;0.3047714077171425;0.0216511954670513
SpectralMixOPDPxEDARS0-DP-DC-R-3C;0.0833234025792263;0.026165804;0.005474956822107;0.0891036517868899;0.0197812320092112;0.0882419782062119;0.029620035;0.0031174438687392;0.1028164591977134;0.0202474847163966;0.1078250981380558;0.0507772;0.0011278065630397;0.1923937692721892;0.0210918249739328;0.1296206372646563;0.07564767;0.0009291882556131;0.322383722942577;0.0214366677955263
SpectralMixOFDPARS0-DP-DC-R-3C;0.0831765453827443;0.025647668;0.0053713298791018;0.0878813687282463;0.0197179044329303;0.08774239835807;0.028929189;0.003048359240069;0.1005177682387991;0.0201638018477396;0.1089376279833904;0.052331608;0.0011554404145077;0.1988671612729932;0.0210576511701859;0.1283772738597988;0.07452504;0.0009093264248704;0.3142258497838707;0.0213689352823091
SpectralMixOFDPARS0-DP-DC-R-2C;0.0829632872748743;0.02582038;0.0054058721934369;0.0873170096752797;0.0198661485319516;0.0884530616375634;0.02970639;0.0031260794473229;0.1023436029438243;0.020403679030622;0.1076965264794939;0.05120898;0.0011381692573402;0.190558721710517;0.0212430907363696;0.1292405435337103;0.0753886;0.0009395509499136;0.3186879309117225;0.0215804640502787
ReviewOnlyMovieRatings-DP;0.0827349402861584;0.02521589;0.0053195164075993;0.0867145924291879;0.0198589522164651;0.0872997793920935;0.02789292;0.0030051813471502;0.0991797547233027;0.0202379238972503;0.1013992578605439;0.04058722;0.0009602763385146;0.1644550851463542;0.0207313682305837;0.1171645570120465;0.056476682;0.0007530224525043;0.2578415153090492;0.0209509321830909
ReviewOnlyAR-DP;0.0827349402861584;0.02521589;0.0053195164075993;0.0867145924291879;0.0198589522164651;0.0872997793920935;0.02789292;0.0030051813471502;0.0991797547233027;0.0202379238972503;0.1013992578605439;0.04058722;0.0009602763385146;0.1644550851463542;0.0207313682305837;0.1171645570120465;0.056476682;0.0007530224525043;0.2578415153090492;0.0209509321830909
SpectralMixOFDPARS0-DP-DC-R-4C;0.082594644204098;0.025734024;0.0053886010362694;0.0876916546519417;0.0197625215889464;0.0876651188695969;0.029188255;0.0030829015544041;0.1015027553552972;0.0202458398442854;0.1078240232451453;0.05120898;0.0011485319516407;0.1938988434266964;0.0211392441665956;0.127464362188012;0.07417962;0.0009127806563039;0.3110487758261008;0.021452586211222
SpectralMixOPDPxEDARS1-DP-DC-R-4C;0.0823807855387275;0.025993092;0.005440414507772;0.087291774929241;0.0199323546344271;0.0870710923719428;0.02927461;0.0030829015544041;0.1002847170391283;0.0203783891219124;0.1058738761895012;0.049050085;0.0010880829015544;0.186726629797738;0.0211593838116253;0.1229181153346518;0.067962006;0.0008428324697754;0.2884237702331833;0.0214184091327557
SpectralMixOPDPxEDARS0-DP-DC-R-2C;0.0820828548317779;0.025734024;0.0053886010362694;0.0861021327896812;0.0198186528497409;0.0882623145075718;0.029965457;0.0031519861830742;0.1032015551898785;0.0203994297776681;0.1117236819584203;0.05552677;0.0012469775474956;0.2110580829280919;0.0214004674275842;0.1329882298157941;0.07892919;0.000981865284974;0.3377809392198616;0.0217228819539538
SpectralMixOPDPxEDARS1-DP-DC-R-5C;0.0820555658155667;0.026079448;0.0054576856649395;0.0868520916009686;0.0198344847438111;0.0865004311239217;0.029188255;0.0030742659758203;0.0991478673059319;0.020254852372728;0.1040705374060201;0.04792746;0.0010518134715025;0.1795471826722119;0.021006308707668;0.1227995178329049;0.069516405;0.0008480138169257;0.2911895799035355;0.0213056040539016
SpectralMixOFDPARS1-DP-DC-R-3C;0.081924096241705;0.02582038;0.0054058721934369;0.0862080735333347;0.0198819804260218;0.0869263732485233;0.029447323;0.0031088082901554;0.0996066084818751;0.0203854483647229;0.1058279584355876;0.049050085;0.0011053540587219;0.1856865020135585;0.0211606706626441;0.1241572821746933;0.070379965;0.0008791018998272;0.2942303351049423;0.0214568967567317
SpectralMixOPDPxEDARS1-DP-DC-R-3C;0.0816925689578417;0.02582038;0.0054058721934369;0.0859295220013013;0.0199568221070811;0.0870339111986954;0.02970639;0.0031347150259067;0.1004422630779754;0.0204906173753324;0.1061567992793061;0.04939551;0.0011139896373057;0.1881934658018593;0.0212641505208535;0.1247901887224243;0.07063904;0.0008886010362694;0.2980929163491391;0.0215614325644898
